GS,MS,JPM,
196.06,43.69,95.82,
179.93,40.13,89.47,
180.1,40.3,90.17,
181.44,41.06,91.33,
177.83,39.33,88.67,
181.88,40.28,90.45,
171.87,37.29,85.9,
174.45,37.81,87.52,
171.8,36.99,84.03,
177.21,38.42,87.03,
183.16,39.83,89.97,
185.39,40.08,92.7,
182.32,38.81,91.21,
176.92,37.3,90.27,
178.3,37.98,92,
176.03,38.09,92.14,
177.1,38.4,93.25,
183.42,39.43,95.76,
190.03,40.79,97.86,
187.01,40.13,95.29,
183.54,39.31,94.62,
177,37.97,90.71,
175.05,37.47,89.39,
175.98,37.81,89.34,
173.81,36.95,89.05,
180.4,38.36,91.71,
183.49,39.09,95.18,
177.04,38.36,87.33,
178.52,38.4,90.79,
178.23,39.86,95.5,
179.18,39.58,98.19,
184.26,41.08,102.76,
176.96,39.37,94.3,
166.02,36.94,90.64,
158.23,37.01,89.46,
146.93,33.85,84.05,
149.93,33.9,87.51,
145.29,31.62,84.36,
154.59,34,90.03,
159.62,34.84,93.5,
158.34,34.01,91.13,
165.79,35.71,98.12,
155.13,33.99,91.73,
153.6,33.22,88.43,
134.97,27.81,79.03,
138.41,29.67,83.5,
149.49,30.92,85.3,
140.02,30.75,83.89,
158.67,33.79,93.76,
154.66,31.65,88.36,
177.17,37.5,103.91,
150.68,31.31,88.05,
171.89,36.87,95.96,
184.35,39.5,100.7,
172.81,37.5,93.44,
192.85,41.84,108.08,
198.79,42.59,113.97,
208.74,45.24,119.85,
203.43,44.4,116.96,
209.47,46.48,121.52,
200.77,45.03,116.11,
205.69,45.41,121.37,
215.78,47.24,126.64,
217.61,48.03,126.26,
224.54,49.68,132.16,
230.62,52.42,135.81,
232.73,53.75,137.49,
237.33,56.31,137.49,
233.21,55.52,135.64,
237.08,55.84,137.46,
238.35,55.93,137.88,
238.65,56.18,138,
236.46,55.78,138,
237.36,55.35,137.74,
238,55.03,137.17,
241.82,55.01,137.61,
244.3,54.99,137.59,
241.94,54.02,135.29,
239.01,52.6,133.37,
237.75,52.26,132.36,
244.13,53.82,135.89,
240.12,53.68,134.23,
242.58,54.02,134.43,
238.14,53.11,132.03,
241.92,54.55,133.15,
245.58,55.53,136.54,
247.05,55.86,136.68,
245.7,55.92,136.84,
249.46,57.51,138.2,
249.72,56.44,137.25,
245.21,52.94,136.72,
245.66,52.86,138.8,
245.21,52.78,137.2,
242.11,52.21,136.07,
242.6,52.06,137.44,
237.76,51.57,136.94,
235.49,50.92,135.88,
233.95,51.02,138.23,
231.58,51.2,138.34,
234.32,52.04,141.09,
229.93,51.12,139.4,
229.8,50.96,138.63,
230.66,51.09,139.14,
231.21,51.11,139.04,
229.91,50.69,137.58,
229.09,50.72,137.2,
228.93,50.69,137.24,
229.94,50.86,137.35,
230.45,50.66,138.04,
231.15,50.9,138.18,
228.04,50.72,137.34,
225,50.24,136.81,
226.05,50.69,138.02,
221.19,49.45,134.18,
221.88,49.67,134.5,
221.81,49.6,134.41,
224.61,49.8,135.04,
217.14,49.07,133.06,
215.94,48.84,132.34,
212.24,48.11,129.78,
217.64,49.08,131.47,
221.35,49.48,131.76,
222.95,49.78,132.06,
222.45,49.41,131.67,
222.75,49.96,131.49,
220.28,49.25,130.79,
218.23,48.84,129.93,
217.91,49.1,129.63,
220.04,49.33,130.58,
219.73,49.03,130.62,
220.25,48.99,129.53,
219.43,48.61,128.6,
219.32,48.39,128.48,
220.41,49.01,129.16,
219.03,49.09,129.92,
222.91,49.15,130.38,
223.29,48.66,130,
218.42,48.56,129.3,
218.64,48.75,129.1,
219.87,48.83,128.82,
217.39,47.33,127.8,
213.38,46.05,124.92,
215.81,46.26,125.73,
217.64,46.83,126.43,
217.75,46.84,126.51,
214.23,46.37,126.03,
211.05,45.76,125.03,
211.32,45.91,125.12,
209.6,45.38,124.79,
209.25,44.98,123.55,
206.52,43.66,120.56,
206.46,43.44,120.35,
207.42,42.79,119.68,
206.46,42.53,119.96,
205.82,42.25,116.45,
204.68,41.93,116.14,
199.87,41.05,114.21,
196.85,40.44,112.63,
197.37,39.82,111.82,
200.4,40.68,114.37,
200.8,40.78,114.62,
197.24,40.25,112.19,
