,day,hour,open,high,low,close,volume
0,2012-06-22,13:30:00,28.63,28.63,27.8,27.8,23613584
1,2012-06-25,13:30:00,27.39999,27.46001,26.55,26.98,18809056
2,2012-06-26,13:30:00,27.00999,27.02,26.28,26.7,19011808
3,2012-06-27,13:30:00,26.86,27.36,26.61,27.21001,19014352
4,2012-06-28,13:30:00,27.36,27.8,27.09,27.69,15981590
5,2012-06-29,13:30:00,28.39999,28.61,28.10001,28.39,17674208
6,2012-07-02,13:30:00,28.46001,28.86,28.28999,28.60001,14043434
7,2012-07-03,13:30:00,28.87,29.96001,28.82001,29.94,13742105
8,2012-07-05,13:30:00,29.71001,29.94,29.32001,29.56,12765086
9,2012-07-06,13:30:00,29.0,29.37,28.8,29.3,10497883
10,2012-07-09,13:30:00,29.14999,29.41,28.78999,29.0,11892266
11,2012-07-10,13:30:00,29.16,29.45,28.08,28.36,13830289
12,2012-07-11,13:30:00,28.39,28.77,28.28999,28.53,11948367
13,2012-07-12,13:30:00,28.11,28.64999,27.62,28.41,13222500
14,2012-07-13,13:30:00,28.45,28.89,28.45,28.8,8779219
15,2012-07-16,13:30:00,28.77,29.22,28.3,29.0,9568430
16,2012-07-17,13:30:00,29.14,29.52,28.5,29.39999,12258344
17,2012-07-18,13:30:00,29.27,30.28999,29.19,30.17,16365742
18,2012-07-19,13:30:00,30.45,30.55,30.05,30.21001,13952246
19,2012-07-20,13:30:00,30.81,31.50999,30.59,30.77,30626016
20,2012-07-23,13:30:00,30.10001,31.75,29.25,31.50999,25589696
21,2012-07-24,13:30:00,31.7,31.85001,31.02,31.55,18613568
22,2012-07-25,13:30:00,31.74001,31.84,31.02,31.3,10860348
23,2012-07-26,13:30:00,31.84,32.72,31.75,32.56,20175744
24,2012-07-27,13:30:00,32.87,33.88,32.53,33.62,22284528
25,2012-07-30,13:30:00,33.35001,33.94,33.05,33.55,10556574
26,2012-07-31,13:30:00,33.57001,33.78999,32.92999,33.13,14764934
27,2012-08-01,13:30:00,33.37,33.64,33.00999,33.41,10710582
28,2012-08-02,13:30:00,33.08,33.41,32.44,32.86,13568977
29,2012-08-03,13:30:00,33.50999,34.07001,33.36,33.75999,10197055
30,2012-08-06,13:30:00,33.85001,34.14,33.75,33.82001,8435297
31,2012-08-07,13:30:00,34.06,34.925,33.98,34.39,14954074
32,2012-08-08,13:30:00,34.19,34.63,34.089,34.62,9801043
33,2012-08-09,13:30:00,34.60001,35.24001,34.53,35.05,11410535
34,2012-08-10,13:30:00,34.81,35.22,34.63,35.19,8956039
35,2012-08-13,13:30:00,34.99001,35.24001,34.66,35.03999,7433492
36,2012-08-14,13:30:00,35.27,35.45,34.75999,34.85001,10369332
37,2012-08-15,13:30:00,34.64,34.7,33.97,34.58,10934809
38,2012-08-16,13:30:00,34.75999,35.35001,34.64,35.3,10672305
39,2012-08-17,13:30:00,35.34,35.3909,35.03,35.12,8064996
40,2012-08-20,13:30:00,34.88,35.14999,34.82001,35.0,4963215
41,2012-08-21,13:30:00,35.11,35.48,35.03999,35.16,9170242
42,2012-08-22,13:30:00,34.99001,35.48,34.56,34.67,15007941
43,2012-08-23,13:30:00,34.64999,34.85001,34.11011,34.14999,10183742
44,2012-08-24,13:30:00,33.98,34.325,33.63499,34.27,8440754
45,2012-08-27,13:30:00,34.27,34.75999,34.02,34.45,6926793
46,2012-08-28,13:30:00,34.3,34.37,33.82001,34.08,7129426
47,2012-08-29,13:30:00,34.33,34.33,33.42999,33.50999,10381688
48,2012-08-30,13:30:00,33.17,33.24001,32.48,32.81,12588301
49,2012-08-31,13:30:00,33.11,33.12,32.41,32.75999,11950758
50,2012-09-04,13:30:00,32.74001,32.75,31.0,32.14999,25614592
51,2012-09-05,13:30:00,32.05,32.72701,31.91,32.41,11094746
52,2012-09-06,13:30:00,32.66,33.11,32.60001,32.96001,10765051
53,2012-09-07,13:30:00,33.17,34.42,33.05,34.24001,18563024
54,2012-09-10,13:30:00,34.42,34.72,34.24001,34.27,10914410
55,2012-09-11,13:30:00,34.34,35.52,34.10001,35.35001,17567520
56,2012-09-12,13:30:00,35.64999,36.0,35.46001,35.73,15730121
57,2012-09-13,13:30:00,35.77,36.82001,35.50999,36.44,15884238
58,2012-09-14,13:30:00,37.0,38.0,36.86,37.44,17075248
59,2012-09-17,13:30:00,37.36,37.87,37.035,37.22,11918180
60,2012-09-18,13:30:00,36.78,36.84,36.2,36.57001,13421727
61,2012-09-19,13:30:00,36.59,36.75,36.09,36.41,13570820
62,2012-09-20,13:30:00,35.83,36.22,35.32001,36.13,16724359
63,2012-09-21,13:30:00,36.85001,36.87,35.82001,35.84,13995547
64,2012-09-24,13:30:00,35.12,35.84,35.11,35.49001,9101883
65,2012-09-25,13:30:00,35.62,35.75,34.67,34.77,16350207
66,2012-09-26,13:30:00,34.55,34.55,33.58501,33.92,15655746
67,2012-09-27,13:30:00,34.19,34.31,33.61,34.22,10134141
68,2012-09-28,13:30:00,34.09,34.10001,33.5,33.69,11071398
69,2012-10-01,13:30:00,33.92999,34.03,33.46001,33.67,15272223
70,2012-10-02,13:30:00,33.78,34.08,33.55,34.07001,14929871
71,2012-10-03,13:30:00,33.92,33.96001,32.89999,33.00999,19460848
